secid,date,days,volatility,index_flag
108105,2012-03-19,547,0.201522,1
108105,2012-03-19,730,0.20517,1
108105,2012-03-19,1825,0.26645,1
108105,2012-03-20,10,0.111638,1
108105,2012-03-20,14,0.097144,1
108105,2012-03-20,30,0.104357,1
108105,2012-03-20,60,0.096392,1
108105,2012-03-20,91,0.098172,1
108105,2012-03-20,122,0.158835,1
108105,2012-03-20,152,0.193164,1
108105,2012-03-20,182,0.218138,1
108105,2012-03-20,273,0.256531,1
108105,2012-03-20,365,0.229234,1
108105,2012-03-20,547,0.201193,1
108105,2012-03-20,730,0.204981,1
108105,2012-03-20,1825,0.266454,1
108105,2012-03-21,10,0.10777,1
108105,2012-03-21,14,0.101059,1
108105,2012-03-21,30,0.102489,1
108105,2012-03-21,60,0.095592,1
108105,2012-03-21,91,0.098494,1
108105,2012-03-21,122,0.157991,1
108105,2012-03-21,152,0.191301,1
108105,2012-03-21,182,0.213607,1
108105,2012-03-21,273,0.256419,1
108105,2012-03-21,365,0.229212,1
108105,2012-03-21,547,0.201187,1
108105,2012-03-21,730,0.20496,1
108105,2012-03-21,1825,0.266454,1
108105,2012-03-22,10,0.121602,1
108105,2012-03-22,14,0.108024,1
108105,2012-03-22,30,0.106548,1
108105,2012-03-22,60,0.096802,1
108105,2012-03-22,91,0.099378,1
108105,2012-03-22,122,0.154612,1
108105,2012-03-22,152,0.190824,1
108105,2012-03-22,182,0.208421,1
108105,2012-03-22,273,0.256545,1
108105,2012-03-22,365,0.229321,1
108105,2012-03-22,547,0.201239,1
108105,2012-03-22,730,0.204974,1
108105,2012-03-22,1825,0.266368,1
